smiles,formula,precusor_mz,level,mz,
O=S(=O)(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)Cl,C7HClF14O3S,464.9038577,2b,79.95736486 98.95576808 179.95097774,79.95736486 98.95576808 179.95097774
O=S(=O)(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)Cl,C8HClF16O3S,514.9006641,1,34.969402679999995 79.95736486 98.95576808 129.9541713 179.95097774 229.94778418 279.94459062,79.95736486 98.95576808 129.9541713 34.969402679999995 229.94778418 179.95097774 279.94459062
O=S(=O)(O)C(F)(Cl)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,C8HClF16O3S,514.9006641,3,34.969402679999995 79.95736486 98.95576808 118.9925661 114.92621754,79.95736486 98.95576808 114.92621754 34.969402679999995 118.9925661 
O=S(=O)(O)C(F)(Cl)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,C6HClF12O3S,414.9070512,3,34.969402679999995 79.95736486 98.95576808 114.92621754,79.95736486 98.95576808 114.92621754 34.969402679999995 
O=S(=O)(O)C(F)(Cl)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,C8HClF16O3S,514.9006641,3,34.969402679999995 79.95736486 98.95576808 114.92621754 168.98937254,79.95736486 98.95576808 114.92621754 168.98937254 34.969402679999995 
O=S(=O)(O)C(F)(F)C(F)(F)C(F)(F)C(F)(Cl)C(F)(F)C(F)(F)C(F)(Cl)C(F)(F)F,C8HCl2F15O3S,530.8711136,3,34.969402679999995 79.95736486 98.95576808 129.9541713 179.95097774 229.94778418 260.9461874 310.94299384 295.91504008,79.95736486 229.94778418 310.94299384 129.9541713 260.9461874 295.91504008 98.95576808 179.95097774 34.969402679999995
O=S(=O)(O)C(F)(F)C(F)(F)OC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)Cl,C7HClF14O4S,480.8987723,2b,82.96085346000001 98.95576808 300.94834949999995 480.89877723999996,300.94834949999995 480.89877723999996 82.96085346000001 98.95576808 
O=S(=O)(O)C(F)(F)C(F)(F)OC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)Cl,C8HClF16O4S,530.8955787,1,82.96085346000001 98.95576808 350.94515593999995 530.89558368,350.94515593999995 530.89558368 82.96085346000001 98.95576808 
O=S(=O)(O)C(F)(F)C(F)(F)OC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)Cl,C9HClF18O4S,580.8923852,2b,82.96085346000001 98.95576808 400.94196237999995 580.89239012,400.94196237999995 580.89239012 82.96085346000001 98.95576808 
O=S(=O)(O)C(F)(F)C(F)(F)OC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)Cl,C10HClF20O4S,630.8891916,1,82.96085346000001 98.95576808 450.93876881999995 630.8891965600001,450.93876881999995 630.8891965600001 82.96085346000001 98.95576808 
O=S(=O)(O)C(F)(F)C(F)(F)OC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)Cl,C12HClF24O4S,730.8828045,2b,82.96085346000001 98.95576808 550.9323817000001 730.8828094400001,550.9323817000001 730.8828094400001 82.96085346000001 98.95576808 
O=S(=O)(O)C(F)(F)C(F)(F)OC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)Cl,C8HClF16O4S,530.8955787,1,34.969402679999995 82.96085346000001 98.95576808 268.98298542 350.94515593999995 530.89558368,530.89558368 350.94515593999995 82.96085346000001 34.969402679999995 98.95576808 268.98298542 
O=S(=O)(O)C(F)(F)C(F)(F)OC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)Cl,C10HClF20O4S,630.8891916,2b,82.96085346000001 450.93876881999995 630.8891965600001,630.8891965600001 450.93876881999995 82.96085346000001
O=S(=O)(O)C(F)(F)C(F)(F)OC(F)(F)C(F)(F)C(F)(F)C(F)(F)Cl,C6HClF12O4S,430.9019658,1,82.96085346000001 98.95576808 84.99067428000001 350.94515593999995,350.94515593999995 98.95576808 82.96085346000001 84.99067428000001
O=S(=O)(O)C(F)(F)C(F)(F)OC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)Cl,C8HClF16O4S,530.8955787,1,34.969402679999995 82.96085346000001 98.95576808 84.99067428000001 198.94938096 350.94515593999995 530.89558368,350.94515593999995 530.89558368 82.96085346000001 98.95576808 84.99067428000001 198.94938096 34.969402679999995 
O=S(=O)(O)C(F)(F)C(F)(F)OC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)Cl,C10HClF20O4S,630.8891916,2b,34.969402679999995 82.96085346000001 98.95576808 84.99067428000001 168.98937254 198.94938096 450.93876881999995 630.8891965600001,450.93876881999995 82.96085346000001 98.95576808 84.99067428000001 168.98937254 198.94938096 630.8891965600001 34.969402679999995 
O=C(O)CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,C10H3F17O2,476.9788791,2a,242.98617898 392.9765983 476.978884044,476.978884044 392.9765983 242.98617898
O=S(=O)(O)CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,C8H3F15O3S,462.9490583,3,79.95736486 98.95576808 142.9925661 192.98937254 242.98617898 292.98298542 342.97979186 422.93660672 442.942834972 462.94906322399993,442.942834972 462.94906322399993 192.98937254 79.95736486 422.93660672 342.97979186 98.95576808 292.98298542 142.9925661 242.98617898 
O=S(=O)(O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,C8H5F13O3S,426.9679019,1,79.95736486 80.965189892 259.017479108 294.998635484 388.971100408 426.967906848,80.965189892 79.95736486 259.017479108 294.998635484 388.971100408 426.967906848
O=S(=O)(O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,C8H5F13O3S,426.9679019,1,79.95736486 80.965189892 254.98617898 292.98298542 386.9554503439999 406.96167859599996,406.96167859599996 80.965189892 79.95736486 386.9554503439999 254.98617898 292.98298542 
O=S(=O)(O)C(O)CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,C8H5F13O4S,442.9628165,3,79.95736486 80.965189892 94.980839956 118.9925661 122.975754576 168.98937254 192.98937254 242.98617898 292.98298542 318.97979186 424.9522567839999,122.975754576 79.95736486 94.980839956 424.9522567839999 318.97979186 242.98617898 292.98298542 168.98937254 192.98937254 80.965189892 118.9925661  
O=C(O)CSCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,C10H7F13O2S,436.9886373,3,90.98592533600001 272.96144354 292.96767179200003 312.97390004399995 332.980128296 376.969957536 396.976185788 416.98241404000004 436.98864229199995,90.98592533600001 376.969957536 312.97390004399995 416.98241404000004 332.980128296 436.98864229199995 292.96767179200003 396.976185788 272.96144354 
